"id","category","brand","product_name","market","currency","current_price","regular_price","price_tier","composition","source_type","url","checked_at","reference_value","availability","limitations"
"CP-001","Кашемировые шарфы","ARKET","Cashmere Scarf, Grey","BE","EUR",39,"","бюджетный","100% cashmere","официальный сайт бренда","https://www.arket.com/en-eu/product/cashmere-scarf-grey-1297089007/","2026-09-15","Нижняя ценовая граница для компактного шарфа 100×32 см; хороший ориентир для входного SKU и подарочного формата.","На странице видна кнопка Add to bag; фактический остаток по варианту отдельно не подтверждён.","EU-страница открылась с локалью BE; цена и наличие могут отличаться в других странах."
"CP-002","Кашемировые шарфы","GOBI Cashmere","Cashmere Woven Scarf, Dim Gray","DE/EU","EUR",79,"","бюджетный","100% cashmere; 16-micron fibre","официальный сайт бренда","https://www.gobicashmere.com/products/cashmere-woven-scarf-dim-gray","2026-09-15","Прямой монгольский бренд с прозрачным заявлением о волокне; полезный ориентир цены для базового тканого шарфа 170×30 см.","Наличие отдельно не проверялось.","Цена относится к выбранной европейской витрине и конкретному цвету."
"CP-003","Кашемировые шарфы","COS","Pure Cashmere Scarf, Black","DE","EUR",99,"","средний","100% GCS cashmere","официальный сайт бренда","https://www.cos.com/en-de/women/accessories/hatsscarvesgloves/scarves/product/pure-cashmere-scarf-black-1032425001","2026-09-15","Массовый премиум с сертификацией GCS; удобный ориентир для понятного клиенту ценового якоря около €100.","Наличие отдельно не проверялось.","Карточка может переключать цену и остаток при смене цвета."
"CP-004","Кашемировые шарфы","GOBI Cashmere","Cashmere Diamond Scarf, Black","DE/EU","EUR",119,"","средний","100% Mongolian cashmere","официальный сайт бренда","https://www.gobicashmere.com/products/cashmere-diamond-scarf-black/","2026-09-15","Показывает доплату за фактуру и ромбовидный дизайн без ухода из среднего ценового сегмента.","Наличие отдельно не проверялось.","Варианты цвета могут иметь иной остаток или цену."
"CP-005","Кашемировые шарфы","GOBI Cashmere","Natural Color Cashmere Lightweight Woven Scarf, Beige","DE/EU","EUR",159,"","средний","100% cashmere","официальный сайт бренда","https://www.gobicashmere.com/products/lightweight-woven-scarf-beige/","2026-09-15","Референс натуральной неяркой палитры и лёгкого тканого исполнения с более высокой ценой за материал и историю происхождения.","Наличие отдельно не проверялось.","Термин Natural Color является заявлением бренда; лабораторная проверка не проводилась."
"CP-006","Кашемировые шарфы","Acne Studios","Cashmere Fringe Scarf — Narrow, Grey Melange","DE","EUR",350,"","премиальный","100% cashmere","официальный сайт бренда","https://www.acnestudios.com/de/en/cashmere-fringe-scarf---narrow-grey-melange/CA0156-990.html?g=man","2026-09-15","Дизайнерский премиум: минималистичный шарф 200×45 см, где цену поддерживают бренд, Made in Italy и узнаваемая этикетка.","На карточке видна кнопка Add to bag; остаток отдельно не подтверждён.","Цена сильно включает брендовый капитал и не является прямым ориентиром себестоимости."
"CP-007","Кашемировые шарфы","Loro Piana","Grande Unita Scarf","DE","EUR",600,"","премиальный","100% cashmere","официальный сайт бренда","https://de.loropiana.com/de/herren/accessoires/schals/schal-grande-unita-FAO3774_D983.html","2026-09-15","Верхний люксовый якорь для классического однотонного кашемирового шарфа и оценки предела премиализации.","Наличие отдельно не проверялось.","Люксовая цена в значительной степени отражает бренд и сервис; прямое сравнение с DTC ограничено."
"CP-008","Шерстяные шарфы","ARKET","Wollschal","DE","EUR",34.3,49,"бюджетный","100% wool","официальная retail-страница H&M Group","https://www2.hm.com/de_de/productpage.1260190001.html","2026-09-15","Живой пример промо-цены в нижнем сегменте и глубины скидки около 30% для базового шерстяного шарфа.","Наличие отдельно не проверялось.","Акционная цена может исчезнуть без предупреждения."
"CP-009","Шерстяные шарфы","COS","Ribbed Wool Scarf","DE","EUR",59,"","бюджетный","64% RWS wool, 36% cotton","официальная retail-страница H&M Group","https://www2.hm.com/de_de/productpage.1302245001.html","2026-09-15","Показывает ценовой уровень смесового шарфа с сертифицированной шерстью и выраженной рубчатой фактурой.","Наличие отдельно не проверялось.","Это смесовый, а не чистошерстяной продукт."
"CP-010","Шерстяные шарфы","Filippa K","Boucle Scarf, Ice Blue","DE","EUR",84,280,"средний","59% alpaca, 31% wool, 10% polyamide","официальный сайт бренда","https://www.filippa-k.com/de/en/boucle-scarf/28968-9729.html","2026-09-15","Сильный референс распродажи: дизайнерский исходный RRP и глубокая скидка 70% на фактурный unisex-шарф.","Наличие отдельно не проверялось.","Состав включает альпаку и синтетическое волокно; на сайте встречается написание Polyimide."
"CP-011","Шерстяные шарфы","COS","Wool Scarf with Fringes","DE","EUR",89,"","средний","95% RWS wool, 5% GCS cashmere","официальная retail-страница H&M Group","https://www2.hm.com/de_de/productpage.1251465006.html","2026-09-15","Показывает, как небольшая доля кашемира и сертификации поддерживают цену ниже €100.","Наличие отдельно не проверялось.","Кашемир составляет только 5%, поэтому продукт нельзя трактовать как кашемировый шарф."
"CP-012","Шерстяные шарфы","Acne Studios","Logo Wool Scarf, Light Grey Melange/White","DE","EUR",162,270,"премиальный","100% wool","официальный сайт бренда","https://www.acnestudios.com/de/en/logo-wool-scarf-light-grey-melange---white/CA0367-3I1.html?g=woman","2026-09-15","Референс премиального логотипного дизайна и скидочного коридора 40%.","Наличие отдельно не проверялось.","Акционная цена не отражает устойчивый RRP."
"CP-013","Шерстяные шарфы","TOTEME","Classic Wool Scarf, Light Grey Mélange","DE","EUR",170,"","премиальный","100% RWS wool","официальный сайт бренда","https://toteme.com/en-de/products/classic-wool-scarf-light-grey-melange","2026-09-15","Скандинавский премиальный минимализм без сложного декора; полезен для оценки цены за силу силуэта и бренда.","Наличие отдельно не проверялось.","Цена включает дизайнерское позиционирование; доставка и возврат не включены."
"CP-014","Шерстяные шарфы","Acne Studios","Wool Logo Scarf — Wide, Brown/Blue","DE","EUR",270,"","премиальный","100% RWS wool","официальный сайт бренда","https://www.acnestudios.com/de/de/wool-logo-scarf---wide-brown-blue/CA0398-AI8.html","2026-09-15","Верхняя граница дизайнерского сегмента для широкого шерстяного шарфа с крупным брендингом.","Наличие отдельно не проверялось.","Крупный логотип и бренд делают продукт слабым прямым аналогом минималистичной модели."
"CP-015","Шерстяные/мериносовые носки","Devold","Daily Merino Shorty Sock, 2 Pack","DE","EUR",15,"","бюджетный","50% merino wool, 26% polyamide, 22% polyester, 2% elastane","официальный сайт бренда","https://www.devold.com/en-de/product/daily-merino-shorty-sock-2-pack-sc576061b/?color=offwhite","2026-09-15","Нижний ценовой якорь для двухпарного короткого формата; полезен для оценки цены за пару.","Наличие отдельно не проверялось.","Цена указана за 2 пары; сравнивать с одиночными SKU нужно по цене за пару."
