"slot_id","category","target_market","competitor_role","candidate_or_search_seed","composition_gate","size_unit_gate","required_capture","priority","status","note"
"EXP-001","Кашемировые шарфы","NL","accessible premium","Joe Merino — проверить отдельную модель, не дубль","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-002","Кашемировые шарфы","NL","premium specialist","REPEAT cashmere — проверить отдельную модель, не дубль","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-003","Кашемировые шарфы","NL","mass / entry","официальная NL-витрина: cashmere scarf до €120","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-004","Кашемировые шарфы","PL","local premium","Wólczanka — новая модель, не дубль","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-005","Кашемировые шарфы","PL","local premium","Vistula / польский DTC cashmere specialist","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-006","Кашемировые шарфы","SE","Nordic premium","Soft Goat","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-007","Кашемировые шарфы","SE","Nordic premium","Davida Cashmere — новая модель, не дубль","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-008","Кашемировые шарфы","DE","specialist","PURSCHOEN","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-009","Кашемировые шарфы","BE","multi-market premium","Falconeri local BE","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-010","Кашемировые шарфы","EU","heritage luxury anchor","Johnstons of Elgin","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-011","Кашемировые шарфы","EU","luxury anchor","Loro Piana — отдельный anchor, не включать в core median","100% cashmere или раскрытый cashmere blend; записывать долю","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-012","Шерстяные шарфы","NL","accessible premium","Joe Merino / NL wool specialist","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-013","Шерстяные шарфы","NL","design retail","ARKET NL — wool, не cashmere","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-014","Шерстяные шарфы","NL","local / department-store DTC","официальная PDP локального NL-бренда","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-015","Шерстяные шарфы","PL","local premium","Wólczanka wool scarf","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-016","Шерстяные шарфы","PL","mass / entry","Reserved PL или другой официальный mass-market PDP","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-017","Шерстяные шарфы","SE","Nordic premium","Filippa K — wool, новая модель","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-018","Шерстяные шарфы","SE","design premium","Acne Studios — wool, новая модель","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-019","Шерстяные шарфы","FI","Nordic design","MATKA / финский wool specialist","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-020","Шерстяные шарфы","DK","Nordic design","Silkeborg / датский specialist","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-021","Шерстяные шарфы","EU","heritage premium","Johnstons lambswool / merino","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-022","Шерстяные шарфы","EU","luxury anchor","Begg x Co / сопоставимый официальный luxury PDP","100% wool / merino / lambswool или раскрытый blend; тип волокна отдельно","длина и ширина обязательны","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P2","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-023","Шерстяные/мериносовые носки","NL","functional DTC","DILLING — другая конструкция, не дубль","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-024","Шерстяные/мериносовые носки","NL","functional premium","FALKE NL","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
"EXP-025","Шерстяные/мериносовые носки","NL","outdoor","официальный NL outdoor-brand PDP","merino / wool с раскрытым процентом; одна пара, не multipack без пересчёта","цена за пару; размерный диапазон","PDP URL; screenshot; current and regular price; currency; VAT; availability; delivery; free-shipping threshold; return; date","P1","TO_RESEARCH","Плановый слот, не подтверждённая товарная карточка; заменить кандидата, если нет qualifying SKU"
